Department,Salary,Year
Fire and Rescue Services,"75,687.40",2008
Fire and Rescue Services,"97,158.89",2008
Fire and Rescue Services,"82,686.08",2008
Fire and Rescue Services,"93,726.96",2008
Fire and Rescue Services,"75,178.73",2008
Engineering Services,"91,658.66",2008
Engineering Services,"94,812.75",2008
Financial Services,"80,805.28",2008
Fire and Rescue Services,"92,060.99",2008
Board of Parks & Recreation,"104,277.68",2008
City Clerk's Office,"121,881.73",2008
Fire and Rescue Services,"79,440.23",2008
Community Services,"76,006.95",2008
Board of Parks & Recreation,"99,582.55",2008
Community Services,"76,022.50",2008
Fire and Rescue Services,"97,157.11",2008
Fire and Rescue Services,"76,483.31",2008
Engineering Services,"94,816.73",2008
Fire and Rescue Services,"82,053.78",2008
Human Resource Services,"97,837.79",2008
Fire and Rescue Services,"81,714.65",2008
Vancouver Public Library Board,"82,727.24",2008
Fire and Rescue Services,"77,707.40",2008
Fire and Rescue Services,"84,081.89",2008
Fire and Rescue Services,"107,794.53",2008
Engineering Services,"90,596.75",2008
Fire and Rescue Services,"108,802.87",2008
Engineering Services,"134,061.20",2008
Engineering Services,"97,797.55",2008
Fire and Rescue Services,"90,412.29",2008
Fire and Rescue Services,"83,232.42",2008
Community Services,"76,022.50",2008
Fire and Rescue Services,"75,805.32",2008
Community Services,"84,300.50",2008
Community Services,"75,914.50",2008
Community Services,"82,341.10",2008
Fire and Rescue Services,"90,373.34",2008
Engineering Services,"76,673.44",2008
Community Services,"86,310.45",2008
Engineering Services,"77,706.05",2008
Fire and Rescue Services,"78,159.31",2008
Engineering Services,"78,099.08",2008
Fire and Rescue Services,"76,425.16",2008
Community Services,"93,036.71",2008
Fire and Rescue Services,"79,013.84",2008
Engineering Services,"135,044.68",2008
Fire and Rescue Services,"79,853.89",2008
Engineering Services,"99,228.15",2008
Board of Parks & Recreation,"116,641.83",2008
Human Resource Services,"102,370.51",2008
Fire and Rescue Services,"76,801.27",2008
Fire and Rescue Services,"76,119.54",2008
Fire and Rescue Services,"77,488.30",2008
Engineering Services,"83,851.99",2008
Fire and Rescue Services,"75,543.60",2008
Fire and Rescue Services,"77,976.45",2008
Fire and Rescue Services,"76,714.30",2008
Engineering Services,"89,146.78",2008
Fire and Rescue Services,"93,823.50",2008
Fire and Rescue Services,"119,683.90",2008
Board of Parks & Recreation,"85,882.45",2008
Fire and Rescue Services,"85,008.27",2008
Engineering Services,"103,008.31",2008
Engineering Services,"78,717.92",2008
Fire and Rescue Services,"90,780.49",2008
Engineering Services,"113,998.56",2008
Board of Parks & Recreation,"82,853.85",2008
Business Planning & Services,"91,695.48",2008
Engineering Services,"96,392.24",2008
Fire and Rescue Services,"89,917.91",2008
Fire and Rescue Services,"75,097.96",2008
Fire and Rescue Services,"75,995.65",2008
Fire and Rescue Services,"93,846.84",2008
Fire and Rescue Services,"105,993.67",2008
Fire and Rescue Services,"77,339.52",2008
Engineering Services,"96,568.96",2008
Fire and Rescue Services,"76,000.01",2008
Business Planning & Services,"84,797.82",2008
Law Department,"135,406.15",2008
Business Planning & Services,"122,899.35",2008
Engineering Services,"138,605.09",2008
Community Services,"76,081.19",2008
Fire and Rescue Services,"97,597.80",2008
Financial Services,"115,258.52",2008
Engineering Services,"91,548.36",2008
Fire and Rescue Services,"79,685.68",2008
Engineering Services,"88,970.09",2008
Fire and Rescue Services,"86,099.74",2008
Vancouver Public Library Board,"105,858.41",2008
Fire and Rescue Services,"99,271.14",2008
Board of Parks & Recreation,"97,797.55",2008
Engineering Services,"90,789.24",2008
Engineering Services,"93,244.00",2008
Engineering Services,"112,043.15",2008
Fire and Rescue Services,"82,452.35",2008
Board of Parks & Recreation,"82,642.79",2008
Fire and Rescue Services,"93,421.24",2008
Community Services,"76,285.22",2008
Fire and Rescue Services,"79,010.94",2008
Fire and Rescue Services,"77,883.07",2008
Business Planning & Services,"82,898.78",2008
Board of Parks & Recreation,"84,465.20",2008
Fire and Rescue Services,"86,360.40",2008
Fire and Rescue Services,"79,811.27",2008
Vancouver Public Library Board,"89,870.03",2008
Community Services,"86,140.36",2008
Fire and Rescue Services,"88,435.04",2008
Community Services,"75,050.51",2008
Community Services,"87,074.29",2008
Engineering Services,"104,232.84",2008
Fire and Rescue Services,"88,052.87",2008
Engineering Services,"113,998.55",2008
Fire and Rescue Services,"75,619.74",2008
Fire and Rescue Services,"77,026.53",2008
Engineering Services,"91,533.39",2008
Board of Parks & Recreation,"93,243.96",2008
Fire and Rescue Services,"76,570.32",2008
Office of the City Manager,"123,443.70",2008
Fire and Rescue Services,"97,356.70",2008
Fire and Rescue Services,"89,140.07",2008
Fire and Rescue Services,"82,771.49",2008
Vancouver Public Library Board,"89,328.59",2008
Fire and Rescue Services,"75,493.95",2008
Fire and Rescue Services,"75,242.74",2008
Community Services,"79,598.15",2008
Fire and Rescue Services,"77,683.67",2008
Fire and Rescue Services,"85,894.44",2008
Community Services,"86,289.21",2008
Engineering Services,"105,592.03",2008
Community Services,"77,934.77",2008
Fire and Rescue Services,"76,974.34",2008
Vancouver Public Library Board,"93,243.97",2008
Fire and Rescue Services,"93,945.12",2008
Fire and Rescue Services,"77,787.88",2008
Fire and Rescue Services,"85,802.69",2008
Law Department,"135,087.57",2008
Engineering Services,"80,142.97",2008
Board of Parks & Recreation,"87,660.80",2008
Fire and Rescue Services,"91,227.36",2008
Business Planning & Services,"79,038.53",2008
City Clerk's Office,"186,723.87",2008
Engineering Services,"98,062.48",2008
Business Planning & Services,"85,260.03",2008
Fire and Rescue Services,"80,421.78",2008
Fire and Rescue Services,"86,968.12",2008
Fire and Rescue Services,"79,617.02",2008
Fire and Rescue Services,"76,949.05",2008
Engineering Services,"92,109.65",2008
Vancouver Public Library Board,"112,921.98",2008
Business Planning & Services,"141,139.78",2008
Fire and Rescue Services,"90,249.38",2008
Fire and Rescue Services,"87,457.77",2008
Business Planning & Services,"78,460.23",2008
Fire and Rescue Services,"77,182.28",2008
Mayor & City Council,"102,732.92",2008
Community Services,"206,237.14",2008
Fire and Rescue Services,"84,011.88",2008
Engineering Services,"91,075.48",2008
Human Resource Services,"83,851.99",2008
Fire and Rescue Services,"104,072.55",2008
Fire and Rescue Services,"78,316.16",2008
Fire and Rescue Services,"92,548.42",2008
Engineering Services,"77,058.34",2008
Engineering Services,"82,089.29",2008
City Clerk's Office,"94,304.26",2008
Law Department,"122,785.53",2008
Fire and Rescue Services,"86,510.08",2008
Engineering Services,"85,970.65",2008
Engineering Services,"77,599.65",2008
Community Services,"118,066.94",2008
Fire and Rescue Services,"75,597.44",2008
Fire and Rescue Services,"85,777.55",2008
Fire and Rescue Services,"80,204.28",2008
Fire and Rescue Services,"87,689.91",2008
Fire and Rescue Services,"83,215.23",2008
Fire and Rescue Services,"81,013.20",2008
Engineering Services,"88,250.10",2008
Fire and Rescue Services,"93,117.41",2008
Fire and Rescue Services,"93,965.05",2008
Engineering Services,"82,568.72",2008
Fire and Rescue Services,"77,251.33",2008
Fire and Rescue Services,"88,872.96",2008
Human Resource Services,"83,851.99",2008
Fire and Rescue Services,"83,851.78",2008
Fire and Rescue Services,"87,086.13",2008
Engineering Services,"84,181.08",2008
Fire and Rescue Services,"76,929.29",2008
Business Planning & Services,"81,963.08",2008
Fire and Rescue Services,"76,946.52",2008
Fire and Rescue Services,"76,590.69",2008
Fire and Rescue Services,"77,722.03",2008
Law Department,"133,827.56",2008
Fire and Rescue Services,"96,183.59",2008
Law Department,"87,624.01",2008
Business Planning & Services,"83,852.03",2008
Fire and Rescue Services,"93,193.65",2008
Fire and Rescue Services,"76,858.82",2008
Fire and Rescue Services,"90,637.06",2008
Community Services,"86,418.82",2008
Engineering Services,"83,126.46",2008
Fire and Rescue Services,"93,031.96",2008
Board of Parks & Recreation,"80,098.49",2008
Fire and Rescue Services,"77,910.29",2008
Fire and Rescue Services,"75,467.38",2008
Engineering Services,"82,639.47",2008
Board of Parks & Recreation,"85,578.79",2008
Fire and Rescue Services,"78,181.43",2008
Fire and Rescue Services,"75,389.82",2008
Engineering Services,"98,120.68",2008
Fire and Rescue Services,"89,532.32",2008
Community Services,"86,709.74",2008
Fire and Rescue Services,"78,340.86",2008
Fire and Rescue Services,"79,250.16",2008
Fire and Rescue Services,"84,108.46",2008
Engineering Services,"76,174.89",2008
Community Services,"80,540.68",2008
City Clerk's Office,"87,269.12",2008
Business Planning & Services,"89,718.25",2008
Fire and Rescue Services,"85,443.83",2008
Fire and Rescue Services,"83,265.72",2008
Fire and Rescue Services,"87,937.68",2008
Financial Services,"110,669.65",2008
Community Services,"93,434.49",2008
Board of Parks & Recreation,"113,998.54",2008
Fire and Rescue Services,"77,091.88",2008
Community Services,"126,022.18",2008
Engineering Services,"75,085.61",2008
Law Department,"139,550.90",2008
Fire and Rescue Services,"76,261.59",2008
Community Services,"85,612.08",2008
Fire and Rescue Services,"77,871.02",2008
Fire and Rescue Services,"76,323.70",2008
Fire and Rescue Services,"87,432.46",2008
Engineering Services,"93,244.02",2008
Fire and Rescue Services,"75,274.02",2008
Business Planning & Services,"99,831.85",2008
Fire and Rescue Services,"82,796.56",2008
Community Services,"84,333.76",2008
Vancouver Public Library Board,"77,042.18",2008
Fire and Rescue Services,"92,883.56",2008
Fire and Rescue Services,"86,163.49",2008
Community Services,"83,852.02",2008
Business Planning & Services,"97,837.78",2008
Fire and Rescue Services,"75,157.82",2008
Engineering Services,"91,549.25",2008
Fire and Rescue Services,"86,418.78",2008
Community Services,"76,720.24",2008
Community Services,"112,008.63",2008
Community Services,"87,120.20",2008
Fire and Rescue Services,"84,550.23",2008
Business Planning & Services,"90,230.39",2008
Fire and Rescue Services,"76,172.43",2008
Engineering Services,"94,525.28",2008
Fire and Rescue Services,"81,371.81",2008
Community Services,"82,057.58",2008
Community Services,"75,536.49",2008
Engineering Services,"94,160.27",2008
Community Services,"83,638.48",2008
Fire and Rescue Services,"78,611.34",2008
Fire and Rescue Services,"79,523.53",2008
Engineering Services,"88,498.52",2008
Fire and Rescue Services,"90,586.81",2008
Board of Parks & Recreation,"95,772.06",2008
Community Services,"138,605.08",2008
Engineering Services,"80,402.87",2008
Community Services,"80,852.74",2008
Fire and Rescue Services,"80,470.10",2008
Fire and Rescue Services,"91,529.45",2008
Fire and Rescue Services,"98,232.37",2008
Fire and Rescue Services,"76,443.05",2008
Business Planning & Services,"85,938.72",2008
Community Services,"75,914.49",2008
Engineering Services,"77,306.43",2008
Law Department,"140,322.59",2008
Board of Parks & Recreation,"78,433.15",2008
Business Planning & Services,"78,087.84",2008
Fire and Rescue Services,"81,917.87",2008
Fire and Rescue Services,"94,572.06",2008
Engineering Services,"102,537.30",2008
Community Services,"88,267.06",2008
Community Services,"95,585.19",2008
Financial Services,"110,578.20",2008
Fire and Rescue Services,"93,514.75",2008
Office of the City Manager,"126,542.67",2008
Fire and Rescue Services,"77,010.93",2008
Engineering Services,"98,137.35",2008
Fire and Rescue Services,"75,893.45",2008
Fire and Rescue Services,"76,216.96",2008
Fire and Rescue Services,"75,706.34",2008
Fire and Rescue Services,"77,186.86",2008
Engineering Services,"94,010.80",2008
Fire and Rescue Services,"75,872.80",2008
Engineering Services,"98,960.63",2008
Fire and Rescue Services,"78,930.42",2008
Community Services,"97,134.52",2008
Fire and Rescue Services,"89,774.79",2008
Community Services,"77,389.67",2008
Law Department,"142,091.86",2008
Community Services,"76,535.30",2008
Fire and Rescue Services,"107,842.54",2008
Fire and Rescue Services,"92,583.59",2008
Board of Parks & Recreation,"141,734.78",2008
Business Planning & Services,"98,560.00",2008
Business Planning & Services,"93,243.96",2008
Business Planning & Services,"82,431.08",2008
Community Services,"97,388.73",2008
Community Services,"81,963.08",2008
Fire and Rescue Services,"76,632.53",2008
Fire and Rescue Services,"185,823.84",2008
Board of Parks & Recreation,"83,907.28",2008
Fire and Rescue Services,"86,237.93",2008
Fire and Rescue Services,"89,681.70",2008
Vancouver Public Library Board,"85,761.73",2008
Community Services,"108,315.17",2008
Community Services,"76,022.50",2008
Fire and Rescue Services,"75,255.84",2008
Business Planning & Services,"81,373.43",2008
Fire and Rescue Services,"90,000.93",2008
Community Services,"81,963.11",2008
Fire and Rescue Services,"97,395.44",2008
Community Services,"86,410.47",2008
Office of the City Manager,"105,592.03",2008
Community Services,"75,444.99",2008
Engineering Services,"90,078.98",2008
Fire and Rescue Services,"76,873.94",2008
Fire and Rescue Services,"93,130.74",2008
Business Planning & Services,"119,326.91",2008
Community Services,"99,949.21",2008
Business Planning & Services,"86,907.92",2008
Mayor & City Council,"99,888.04",2008
Fire and Rescue Services,"75,570.99",2008
Fire and Rescue Services,"75,781.23",2008
Fire and Rescue Services,"77,444.30",2008
Engineering Services,"91,976.85",2008
Vancouver Public Library Board,"76,372.94",2008
Fire and Rescue Services,"106,607.10",2008
Engineering Services,"93,505.41",2008
Fire and Rescue Services,"86,148.88",2008
Engineering Services,"96,568.96",2008
Fire and Rescue Services,"79,520.10",2008
Fire and Rescue Services,"92,666.41",2008
Financial Services,"115,258.50",2008
Human Resource Services,"86,873.90",2008
Community Services,"75,737.62",2008
Community Services,"88,728.86",2008
Fire and Rescue Services,"83,036.95",2008
Community Services,"114,674.25",2008
Engineering Services,"86,392.35",2008
Business Planning & Services,"84,384.59",2008
City Clerk's Office,"86,232.69",2008
Law Department,"167,632.84",2008
Community Services,"79,472.43",2008
EEO Program,"79,911.02",2008
Fire and Rescue Services,"81,504.88",2008
Community Services,"76,241.51",2008
Fire and Rescue Services,"76,119.13",2008
Community Services,"126,910.46",2008
Fire and Rescue Services,"77,761.00",2008
Engineering Services,"78,163.76",2008
Engineering Services,"102,971.42",2008
Business Planning & Services,"96,568.96",2008
Fire and Rescue Services,"111,715.15",2008
Law Department,"134,506.01",2008
Fire and Rescue Services,"81,573.81",2008
Board of Parks & Recreation,"103,933.11",2008
Board of Parks & Recreation,"124,978.46",2008
Engineering Services,"156,170.04",2008
Community Services,"82,341.08",2008
Fire and Rescue Services,"86,034.62",2008
Community Services,"78,963.00",2008
Business Planning & Services,"111,318.38",2008
Fire and Rescue Services,"87,079.64",2008
Vancouver Public Library Board,"77,657.52",2008
Fire and Rescue Services,"75,003.19",2008
Fire and Rescue Services,"75,146.16",2008
Engineering Services,"118,084.03",2008
Fire and Rescue Services,"85,223.43",2008
Fire and Rescue Services,"79,146.75",2008
Vancouver Public Library Board,"88,842.58",2008
Engineering Services,"97,797.55",2008
EEO Program,"105,592.04",2008
Engineering Services,"83,852.01",2008
Engineering Services,"77,177.51",2008
Fire and Rescue Services,"81,569.94",2008
Engineering Services,"94,623.92",2008
Engineering Services,"90,596.76",2008
Fire and Rescue Services,"93,481.74",2008
Fire and Rescue Services,"78,347.10",2008
Fire and Rescue Services,"84,288.10",2008
Community Services,"82,880.74",2008
Fire and Rescue Services,"78,743.32",2008
Engineering Services,"77,792.93",2008
Fire and Rescue Services,"84,062.80",2008
Fire and Rescue Services,"83,323.36",2008
Fire and Rescue Services,"81,384.30",2008
Law Department,"142,407.09",2008
Human Resource Services,"83,852.02",2008
Community Services,"97,837.79",2008
Fire and Rescue Services,"77,399.72",2008
Fire and Rescue Services,"98,448.07",2008
Fire and Rescue Services,"76,616.40",2008
Fire and Rescue Services,"76,508.82",2008
Fire and Rescue Services,"76,713.96",2008
Financial Services,"134,961.00",2008
Fire and Rescue Services,"78,144.80",2008
Engineering Services,"94,478.98",2008
Community Services,"93,095.13",2008
Fire and Rescue Services,"96,952.98",2008
Community Services,"81,400.52",2008
Community Services,"75,536.50",2008
Board of Parks & Recreation,"93,576.56",2008
EEO Program,"83,852.01",2008
Fire and Rescue Services,"80,733.06",2008
Business Planning & Services,"91,830.72",2008
Business Planning & Services,"76,923.37",2008
Engineering Services,"75,704.41",2008
Business Planning & Services,"93,243.99",2008
Community Services,"77,105.87",2008
Engineering Services,"75,383.71",2008
Engineering Services,"81,989.74",2008
Fire and Rescue Services,"78,367.24",2008
Engineering Services,"115,949.37",2008
Community Services,"86,004.67",2008
Business Planning & Services,"77,993.01",2008
Board of Parks & Recreation,"121,992.52",2008
Fire and Rescue Services,"108,132.00",2008
Business Planning & Services,"89,498.51",2008
Engineering Services,"91,294.71",2008
Community Services,"81,014.03",2008
Business Planning & Services,"105,079.26",2008
Fire and Rescue Services,"92,922.88",2008
Engineering Services,"114,173.54",2008
Fire and Rescue Services,"76,306.54",2008
Fire and Rescue Services,"90,158.11",2008
Human Resource Services,"83,851.99",2008
Fire and Rescue Services,"77,342.68",2008
Engineering Services,"93,346.97",2008
Engineering Services,"89,829.74",2008
Fire and Rescue Services,"85,133.79",2008
Fire and Rescue Services,"75,597.53",2008
Fire and Rescue Services,"80,232.20",2008
Fire and Rescue Services,"77,257.05",2008
Community Services,"81,963.08",2008
Business Planning & Services,"98,682.33",2008
Fire and Rescue Services,"91,308.23",2008
Business Planning & Services,"83,851.99",2008
Financial Services,"98,152.90",2008
Engineering Services,"78,955.05",2008
Engineering Services,"75,401.63",2008
Fire and Rescue Services,"93,559.09",2008
Community Services,"78,914.63",2008
Fire and Rescue Services,"86,256.49",2008
Engineering Services,"81,271.93",2008
Financial Services,"140,023.24",2008
Business Planning & Services,"93,407.81",2008
Community Services,"97,245.74",2008
Community Services,"79,748.45",2008
Business Planning & Services,"76,298.42",2008
Fire and Rescue Services,"75,592.83",2008
Community Services,"97,826.10",2008
Fire and Rescue Services,"78,412.18",2008
Fire and Rescue Services,"76,187.84",2008
Board of Parks & Recreation,"80,439.58",2008
Fire and Rescue Services,"76,472.70",2008
Fire and Rescue Services,"112,941.59",2008
Fire and Rescue Services,"79,296.09",2008
Engineering Services,"91,369.90",2008
Fire and Rescue Services,"82,496.01",2008
Law Department,"137,651.04",2008
Community Services,"78,400.43",2008
Board of Parks & Recreation,"97,797.55",2008
Fire and Rescue Services,"102,767.07",2008
Business Planning & Services,"127,722.28",2008
Engineering Services,"83,618.72",2008
Business Planning & Services,"86,710.88",2008
Law Department,"134,772.66",2008
Law Department,"142,085.56",2008
Business Planning & Services,"97,837.79",2008
Community Services,"82,343.48",2008
Board of Parks & Recreation,"75,734.20",2008
Fire and Rescue Services,"102,360.49",2008
Fire and Rescue Services,"76,549.68",2008
Financial Services,"83,863.90",2008
Financial Services,"398,365.46",2008
Human Resource Services,"83,852.01",2008
Board of Parks & Recreation,"104,736.34",2008
Fire and Rescue Services,"93,839.20",2008
Engineering Services,"99,278.94",2008
Engineering Services,"78,410.13",2008
Engineering Services,"86,376.25",2008
Engineering Services,"80,950.05",2008
Board of Parks & Recreation,"133,826.90",2008
Financial Services,"102,075.06",2008
Engineering Services,"97,797.54",2008
Business Planning & Services,"93,920.26",2008
Fire and Rescue Services,"107,919.48",2008
Community Services,"87,598.05",2008
Engineering Services,"125,527.66",2008
Fire and Rescue Services,"78,983.98",2008
Financial Services,"93,243.97",2008
Fire and Rescue Services,"85,141.23",2008
Community Services,"85,886.27",2008
Community Services,"85,023.05",2008
Engineering Services,"105,592.04",2008
Fire and Rescue Services,"90,151.38",2008
Fire and Rescue Services,"84,340.01",2008
Law Department,"77,827.13",2008
Fire and Rescue Services,"79,426.88",2008
Fire and Rescue Services,"76,764.26",2008
Community Services,"75,050.49",2008
Board of Parks & Recreation,"136,499.17",2008
City Clerk's Office,"106,751.41",2008
Engineering Services,"97,780.94",2008
Community Services,"75,914.49",2008
Fire and Rescue Services,"91,124.87",2008
Board of Parks & Recreation,"103,128.77",2008
Fire and Rescue Services,"106,299.18",2008
Fire and Rescue Services,"76,781.22",2008
Community Services,"97,837.79",2008
Financial Services,"88,493.34",2008
Business Planning & Services,"113,998.54",2008
Fire and Rescue Services,"83,298.57",2008
Engineering Services,"94,346.46",2008
Board of Parks & Recreation,"123,469.44",2008
Fire and Rescue Services,"79,642.78",2008
Fire and Rescue Services,"82,250.52",2008
Business Planning & Services,"95,841.26",2008
Fire and Rescue Services,"75,971.93",2008
Engineering Services,"98,998.58",2008
Business Planning & Services,"99,908.02",2008
Engineering Services,"89,511.43",2008
Board of Parks & Recreation,"76,566.03",2008
Community Services,"75,719.64",2008
Fire and Rescue Services,"77,711.61",2008
Fire and Rescue Services,"107,135.10",2008
Fire and Rescue Services,"76,975.37",2008
Fire and Rescue Services,"85,747.55",2008
Fire and Rescue Services,"76,025.10",2008
Community Services,"81,754.62",2008
